,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2400,22959404,20241200000000.0,170110669,26/01/18,f,13.0,18.0,"['email', 'phone']",t,t,Willoughby,,-33.79667,151.17873,2,1.0,1.0,1.0,$93.00,5,365,5,5,365,365,5.0,365.0,,t,12,28,46,46,08/12/24,28,3,0,4.57,4.75,4.18,4.93,4.93,4.93,4.68,f,13,13,0,0,0.34
2600,24286057,20241200000000.0,158017760,09/11/17,f,1.0,3.0,"['email', 'phone']",t,f,Penrith,,-33.78752,150.68976,3,2.5,3.0,3.0,$80.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,0,0,0,,,,,,,,f,1,0,1,0,
2800,27234789,20241200000000.0,150648646,14/09/17,f,1.0,1.0,"['email', 'phone']",t,t,North Sydney,,-33.84601,151.21568,2,,1.0,,,90,90,90,90,90,90,90.0,90.0,,t,23,53,60,194,08/12/24,72,4,0,4.76,4.88,4.64,4.96,4.88,4.94,4.72,f,1,1,0,0,0.93
3000,29240831,20241200000000.0,4012365,30/10/12,f,2.0,3.0,"['email', 'phone']",t,t,North Sydney,,-33.84459,151.2145,2,1.0,1.0,1.0,$220.00,5,730,5,5,730,730,5.0,730.0,,t,4,25,30,30,08/12/24,58,15,1,4.93,4.93,4.9,4.97,4.95,4.98,4.93,f,2,2,0,0,0.8
3200,31172009,20241200000000.0,227202127,23/11/18,f,1.0,3.0,"['email', 'phone']",t,t,Rockdale,,-33.95389,151.13727,2,1.0,1.0,1.0,$110.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,0,0,0,,,,,,,,f,1,0,1,0,
3400,33408786,20241200000000.0,158872444,15/11/17,f,3.0,5.0,"['email', 'phone']",t,t,Fairfield,,-33.89656,150.9412,7,1.0,2.0,4.0,$111.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,4,32,62,152,08/12/24,227,26,1,4.61,4.68,4.55,4.82,4.89,4.63,4.53,f,3,3,0,0,3.29
3600,34321161,20241200000000.0,58812679,15/02/16,f,1.0,2.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.89447,151.26863,8,4.0,4.0,4.0,"$3,290.00",2,30,2,2,30,30,2.0,30.0,,t,20,48,78,353,08/12/24,29,0,0,4.69,4.69,4.62,4.93,4.83,4.79,4.31,f,1,1,0,0,0.46
3800,36567650,20241200000000.0,91931192,26/08/16,t,24.0,24.0,"['email', 'phone']",t,t,Sydney,,-33.87907,151.20961,5,2.0,2.0,2.0,$697.00,1,1125,1,1,999,999,1.0,999.0,,t,26,53,83,358,08/12/24,19,5,1,4.89,4.95,4.95,4.95,4.95,5.0,4.79,f,24,24,0,0,0.33
4000,38852504,20241200000000.0,297486770,23/09/19,t,3.0,3.0,"['email', 'phone']",t,t,Waverley,,-33.88787,151.27349,2,1.0,0.0,1.0,$226.00,4,100,4,7,1125,1125,6.2,1125.0,,t,11,13,26,91,08/12/24,132,16,2,4.86,4.88,4.82,4.89,4.97,4.93,4.7,t,3,3,0,0,2.1
4200,39613524,20241200000000.0,281589768,01/08/19,f,8.0,33.0,"['email', 'phone', 'work_email']",t,t,The Hills Shire,,-33.52422,150.91436,11,5.0,5.0,5.0,"$6,250.00",3,365,3,3,365,365,3.0,365.0,,t,27,57,87,362,08/12/24,0,0,0,,,,,,,,f,8,8,0,0,
4400,40664494,20241200000000.0,5540766,20/03/13,f,1.0,4.0,"['email', 'phone']",t,t,Pittwater,,-33.62625,151.33584,6,1.5,3.0,4.0,$650.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,24,54,84,359,08/12/24,4,1,0,4.5,4.75,4.25,5.0,5.0,5.0,4.25,f,1,1,0,0,0.07
4600,41915336,20241200000000.0,301168061,09/10/19,f,4.0,6.0,"['email', 'phone']",t,t,Bankstown,,-33.90018,151.04844,2,,1.0,,,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,250,08/12/24,26,1,0,4.31,4.42,4.19,4.62,4.81,4.42,4.31,t,4,0,4,0,0.45
4800,44141118,20241200000000.0,354532017,07/07/20,f,5.0,5.0,['phone'],t,t,Sydney,,-33.87242,151.19382,4,1.0,1.0,3.0,$304.00,1,1125,1,4,1125,1125,1.0,1125.0,,t,12,35,54,297,08/12/24,30,0,0,4.13,4.27,4.1,4.53,4.37,4.4,4.2,t,5,0,5,0,0.57
5000,45421922,20241200000000.0,92389198,29/08/16,t,1.0,2.0,"['email', 'phone']",f,t,Sutherland Shire,,-34.008496,151.196471,4,1.0,2.0,3.0,$306.00,2,1125,1,2,1125,1125,2.0,1125.0,,t,7,25,54,138,08/12/24,96,27,3,4.98,4.95,4.98,4.98,5.0,4.95,4.88,f,1,1,0,0,2.12
5200,46494392,20241200000000.0,376071624,17/11/20,f,1.0,1.0,"['email', 'phone']",t,t,Manly,,-33.78829,151.28452,2,1.0,1.0,1.0,$150.00,90,90,90,90,1125,1125,90.0,1125.0,,t,30,60,90,91,08/12/24,0,0,0,,,,,,,,t,1,1,0,0,
5400,48792461,20241200000000.0,101139031,24/10/16,f,75.0,330.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.88752,151.21165,4,2.0,2.0,2.0,$341.00,2,180,2,4,180,180,2.1,180.0,,t,20,40,70,345,08/12/24,95,20,3,4.56,4.62,4.49,4.77,4.78,4.83,4.43,t,66,66,0,0,2.12
5600,50574071,20241200000000.0,335783670,13/02/20,f,3.0,4.0,['phone'],t,t,Woollahra,,-33.88197,151.2584,2,1.0,2.0,2.0,$129.00,90,365,90,90,365,365,90.0,365.0,,t,24,32,32,268,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
5800,52521049,20241200000000.0,425070402,28/09/21,t,11.0,11.0,"['email', 'phone']",t,f,Waverley,,-33.891457,151.245239,2,1.0,0.0,2.0,$154.00,2,90,2,7,90,90,2.9,90.0,,t,5,9,10,37,08/12/24,113,29,0,4.83,4.83,4.79,4.74,4.88,4.87,4.59,f,11,11,0,0,2.92
6000,53644441,20241200000000.0,82248413,07/07/16,f,1.0,5.0,"['email', 'phone']",t,t,Randwick,,-33.97607,151.243576,2,,1.0,,,90,90,90,90,1125,1125,90.0,1125.0,,t,0,0,0,0,08/12/24,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.03
6200,553129244029921188,20241200000000.0,2192724,21/04/12,t,4.0,5.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.88302,151.19685,4,1.0,1.0,2.0,$230.00,1,365,1,31,1125,1125,2.5,1125.0,,t,3,3,19,78,08/12/24,97,40,2,4.86,4.91,4.68,4.79,4.95,4.93,4.77,f,4,4,0,0,2.9
6400,594339096607766674,20241200000000.0,48839550,12/11/15,f,1.0,4.0,"['email', 'phone']",t,t,Warringah,,-33.723965,151.278763,7,3.0,4.0,4.0,$500.00,14,365,5,14,365,365,13.0,365.0,,t,10,19,25,115,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.09
6600,630197064263709699,20241200000000.0,25442309,31/12/14,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.87215,151.22775,2,2.0,1.0,1.0,$300.00,3,120,3,3,120,120,3.0,120.0,,t,3,9,9,12,08/12/24,20,8,0,5.0,5.0,5.0,5.0,5.0,5.0,4.85,f,1,1,0,0,0.9
6800,651800286148012363,20241200000000.0,2315890,07/05/12,f,2.0,7.0,"['email', 'phone']",t,t,Randwick,,-33.92224,151.24667,2,1.0,1.0,2.0,$390.00,12,30,12,12,1125,1125,12.0,1125.0,,t,19,25,25,25,08/12/24,5,0,0,5.0,4.8,4.6,4.8,5.0,5.0,4.8,t,2,2,0,0,0.17
7000,685841763227803216,20241200000000.0,473222497,04/08/22,f,1.0,1.0,"['email', 'phone']",t,t,The Hills Shire,,-33.6937,150.95827,12,,5.0,,,2,365,1,2,1125,1125,2.0,1125.0,,t,3,11,32,123,08/12/24,59,19,2,4.34,4.27,4.08,4.66,4.68,4.58,4.39,f,1,1,0,0,2.1
7200,724256865984802402,20241200000000.0,194804704,10/06/18,t,1.0,1.0,"['email', 'phone']",t,t,Waverley,,-33.8890768,151.2825,4,1.0,2.0,2.0,$479.00,1,1125,1,21,1125,1125,6.8,1125.0,,t,11,31,43,44,08/12/24,55,14,0,4.87,4.89,4.8,5.0,4.96,4.98,4.75,f,1,1,0,0,2.17
7400,734936817701671169,20241200000000.0,35432690,09/06/15,f,1.0,2.0,"['email', 'phone']",t,f,Pittwater,,-33.62426,151.33407,8,2.0,4.0,6.0,$900.00,5,14,5,5,14,14,5.0,14.0,,t,23,53,83,358,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.09
7600,749426087832084919,20241200000000.0,51972449,22/12/15,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.8694,151.22015,4,1.0,2.0,2.0,$400.00,2,365,1,2,1125,1125,2.0,1125.0,,t,1,7,12,170,08/12/24,179,93,5,4.93,4.89,4.95,4.96,4.97,4.93,4.82,t,1,1,0,0,7.08
7800,770802208781227218,20241200000000.0,381393416,23/12/20,f,45.0,61.0,"['email', 'phone']",t,t,Sydney,,-33.8978,151.1982,1,1.0,1.0,1.0,$134.00,1,60,1,7,60,60,1.1,60.0,,t,0,30,60,61,08/12/24,27,5,0,4.81,4.78,4.7,4.85,4.93,4.59,4.63,f,45,2,43,0,1.18
8000,777136222839583995,20241200000000.0,61575776,04/03/16,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.79175,151.27981,8,,4.0,,,90,365,90,90,365,365,90.0,365.0,,t,0,0,0,0,08/12/24,10,4,0,4.5,4.8,4.5,4.9,4.8,4.7,4.7,f,1,1,0,0,0.48
8200,792103596666418913,20241200000000.0,352842152,01/07/20,f,1.0,1.0,"['email', 'phone']",t,t,Waverley,,-33.88996423,151.27386687005904,4,,2.0,,,90,365,90,90,365,365,90.0,365.0,,t,10,40,70,71,08/12/24,4,2,0,5.0,4.75,4.75,4.75,4.75,5.0,4.75,f,1,1,0,0,0.25
8400,810487389859600604,20241200000000.0,10221379,24/11/13,f,1.0,2.0,['phone'],t,t,Leichhardt,,-33.8789155,151.1526750723526,4,2.0,2.0,2.0,$335.00,2,60,2,3,1125,1125,2.1,1125.0,,t,1,1,1,57,08/12/24,38,5,0,4.95,4.97,4.84,4.92,4.89,4.87,4.89,f,1,1,0,0,1.73
8600,839718674175964735,20241200000000.0,91961414,26/08/16,t,105.0,141.0,"['email', 'phone']",t,t,Marrickville,,-33.90281588,151.13752395611505,4,1.0,1.0,2.0,$225.00,2,365,2,2,365,365,2.0,365.0,,t,26,56,85,110,08/12/24,9,6,0,4.33,4.22,4.78,4.22,4.89,4.44,4.33,t,101,86,15,0,0.59
8800,853107590690722677,20241200000000.0,6361762,13/05/13,f,2.0,3.0,"['email', 'phone']",t,t,Warringah,,-33.7530519,151.2823178,1,1.0,1.0,1.0,$200.00,1,365,1,1,365,365,1.0,365.0,,t,16,34,64,339,08/12/24,0,0,0,,,,,,,,f,1,0,1,0,
9000,868680949390070171,20241200000000.0,412307072,11/07/21,t,27.0,38.0,"['email', 'phone', 'work_email']",t,t,Woollahra,,-33.86785,151.27728,3,2.5,3.0,2.0,$121.00,2,360,2,2,360,360,2.0,360.0,,t,12,12,12,12,08/12/24,14,13,3,5.0,5.0,4.93,5.0,5.0,5.0,5.0,f,26,17,9,0,0.73
9200,885846471727754967,20241200000000.0,21989572,01/10/14,f,1.0,3.0,"['email', 'phone']",t,t,Marrickville,,-33.90603,151.17381,2,,,,,3,365,2,2,365,365,2.0,365.0,,t,0,0,0,0,08/12/24,0,0,0,,,,,,,,f,1,0,1,0,
9400,906916748610536186,20241200000000.0,481193320,26/09/22,f,26.0,31.0,"['email', 'phone']",t,t,North Sydney,,-33.8340572,151.2134974,2,,1.0,,,7,365,7,7,1125,1125,7.0,1125.0,,t,0,0,0,0,08/12/24,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,17,16,1,0,0.18
9600,919199950477500411,20241200000000.0,4204314,20/11/12,f,1.0,4.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.8932035,151.2521293,2,1.5,2.0,1.0,$375.00,90,100,90,90,100,100,90.0,100.0,,t,28,58,88,179,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
9800,938678844947154352,20241200000000.0,20503430,25/08/14,f,1.0,1.0,"['email', 'phone']",t,t,Warringah,,-33.7754097,151.2871467,8,2.0,4.0,5.0,$990.00,4,30,4,4,30,30,4.0,30.0,,t,1,2,2,178,08/12/24,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.18
10000,955387483897057677,20241200000000.0,283498077,06/08/19,f,41.0,50.0,"['email', 'phone', 'work_email']",t,t,Rockdale,,-33.92870577,151.1545112348002,5,,2.0,,,2,90,2,21,90,90,13.6,90.0,,t,0,0,0,0,08/12/24,19,16,2,4.68,4.79,4.58,4.95,4.79,4.95,4.74,f,40,40,0,0,1.19
10200,962801651199411287,20241200000000.0,97424788,30/09/16,t,15.0,15.0,"['email', 'phone']",t,t,Sydney,,-33.8644446,151.2076491,4,1.0,2.0,2.0,$405.00,3,365,2,4,1125,1125,3.2,1125.0,,t,15,27,57,322,08/12/24,58,48,5,4.86,4.88,4.76,4.95,4.91,4.98,4.76,f,12,12,0,0,3.8
10400,986099323698862436,20241200000000.0,21301747,13/09/14,f,2.0,2.0,"['email', 'phone']",t,t,Sydney,,-33.87034093,151.1978193372488,4,2.0,2.0,2.0,$600.00,2,365,2,2,365,365,2.0,365.0,,t,8,27,43,221,08/12/24,0,0,0,,,,,,,,f,2,2,0,0,
10600,993777521052992635,20241200000000.0,37193606,01/07/15,t,26.0,31.0,"['email', 'phone', 'work_email']",t,t,Willoughby,,-33.78881734,151.1764383779324,8,1.5,3.0,3.0,$708.00,28,365,28,28,1125,1125,28.0,1125.0,,t,24,54,77,172,08/12/24,4,1,0,4.75,4.75,5.0,5.0,5.0,5.0,4.75,f,26,26,0,0,0.28
10800,1012394145299111073,20241200000000.0,23494777,08/11/14,f,1.0,1.0,"['email', 'phone']",t,t,Pittwater,,-33.6063752,151.2970336,6,2.5,3.0,4.0,$737.00,2,365,2,5,365,365,2.2,365.0,,t,0,21,48,317,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.18
11000,1019367062705216140,20241200000000.0,355807,21/01/11,t,8.0,9.0,"['email', 'phone', 'work_email']",t,t,Botany Bay,,-33.9334,151.1944,4,1.0,1.0,2.0,$210.00,1,365,1,8,90,90,3.3,90.0,,t,26,56,86,361,08/12/24,24,23,3,5.0,4.88,4.83,4.96,4.96,4.75,4.88,t,8,8,0,0,1.85
11200,1026999322093684993,20241200000000.0,7555882,17/07/13,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.88750965,151.2815386241212,2,1.0,1.0,1.0,$300.00,5,24,5,5,24,24,5.0,24.0,,t,0,24,26,26,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.09
11400,1039327602560184991,20241200000000.0,7409213,10/07/13,f,237.0,354.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.88728,151.27955,8,2.5,4.0,5.0,"$1,319.00",1,1125,1,7,5,1125,4.4,876.1,,t,2,20,20,20,08/12/24,4,4,0,4.5,4.75,4.75,4.25,4.5,5.0,4.25,t,179,179,0,0,0.34
11600,1048983091097077496,20241200000000.0,347608321,25/05/20,f,11.0,16.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.7917979,151.2829556,4,1.0,2.0,3.0,$226.00,2,90,2,21,90,90,11.3,90.0,,t,2,13,39,301,08/12/24,13,13,2,4.46,4.54,4.23,4.69,4.92,4.77,4.38,t,11,11,0,0,1.18
11800,1061408257293223916,20241200000000.0,28304255,24/02/15,f,7.0,9.0,"['email', 'phone']",t,t,Mosman,,-33.82237573,151.2353904767212,6,1.5,2.0,2.0,"$1,000.00",4,365,4,4,365,365,4.0,365.0,,t,1,24,54,76,08/12/24,9,9,0,4.78,4.78,4.89,5.0,5.0,4.78,4.67,f,7,7,0,0,0.92
12000,1071784611621089223,20241200000000.0,511701558,25/04/23,f,8.0,12.0,"['email', 'phone']",t,t,Burwood,,-33.87823,151.10615,4,1.0,1.0,2.0,$158.00,2,365,2,2,365,365,2.0,365.0,,t,22,39,64,153,08/12/24,25,25,5,4.72,4.8,4.72,5.0,4.92,4.84,4.72,f,8,8,0,0,3.41
12200,1077823847125911939,20241200000000.0,308018824,07/11/19,f,24.0,33.0,"['email', 'phone']",t,t,Camden,,-34.0106206,150.7437493928036,12,2.5,4.0,7.0,$398.00,2,28,2,2,28,28,2.0,28.0,,t,30,60,90,90,08/12/24,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,23,21,1,1,1.0
12400,1098215446937112840,20241200000000.0,58507566,12/02/16,t,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.90772,151.18253,2,1.0,1.0,1.0,$174.00,2,365,2,2,365,365,2.0,365.0,,t,8,8,8,76,08/12/24,10,10,0,5.0,4.8,4.9,4.9,5.0,5.0,5.0,f,2,2,0,0,1.19
12600,1109902310329621892,20241200000000.0,566479442,11/03/24,t,1.0,1.0,['phone'],f,t,Mosman,,-33.82443,151.24212,4,1.0,2.0,2.0,$185.00,2,365,1,4,365,365,3.0,365.0,,t,2,10,20,44,08/12/24,26,26,3,4.69,4.69,4.69,4.81,4.77,4.62,4.62,t,1,1,0,0,3.0
12800,1116260469324312096,20241200000000.0,412307072,11/07/21,t,27.0,38.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.88754,151.27586,9,1.0,3.0,8.0,$368.00,2,360,1,60,360,360,45.5,360.0,,t,11,41,71,342,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,26,17,9,0,0.15
13000,1129439352224627058,20241200000000.0,565965713,07/03/24,t,28.0,33.0,"['email', 'phone']",t,t,North Sydney,,-33.8361,151.20453,7,2.5,3.0,4.0,$234.00,1,365,1,4,365,365,2.9,365.0,,t,16,37,67,145,08/12/24,20,20,3,5.0,4.9,4.9,5.0,5.0,4.95,4.95,f,21,21,0,0,2.94
13200,1138906855255369518,20241200000000.0,475059232,15/08/22,f,8.0,24.0,"['email', 'phone']",t,t,Penrith,,-33.76237258,150.6829689770295,7,1.0,3.0,3.0,$178.00,2,365,2,3,365,365,2.0,365.0,,t,14,41,68,110,08/12/24,11,11,0,4.73,4.73,4.73,4.91,5.0,4.64,4.64,t,8,8,0,0,1.52
13400,1151118861093968232,20241200000000.0,338022273,21/02/20,t,4.0,6.0,"['email', 'phone']",t,t,North Sydney,,-33.8418,151.2089,3,1.0,1.0,1.0,$443.00,1,365,1,2,365,365,1.0,365.0,,t,20,20,20,52,08/12/24,9,9,2,4.89,5.0,5.0,4.89,5.0,5.0,4.67,t,4,0,4,0,1.67
13600,1162159861318368955,20241200000000.0,91191834,21/08/16,t,3.0,3.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.88782096,151.2703119096318,2,,,,,3,14,3,3,14,14,3.0,14.0,,t,0,0,0,0,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,3,1,2,0,0.28
13800,1171574706738904415,20241200000000.0,22875615,23/10/14,t,1.0,1.0,"['email', 'phone']",t,f,Ku-Ring-Gai,,-33.7345488,151.1065899,4,1.5,1.0,2.0,$179.00,1,20,1,1,1125,1125,1.0,1125.0,,t,2,19,29,87,08/12/24,57,57,8,4.96,4.96,4.95,5.0,4.98,4.95,4.98,t,1,1,0,0,10.43
14000,1175953455572679953,20241200000000.0,149790023,09/09/17,t,17.0,17.0,"['email', 'phone']",t,t,Sydney,,-33.88533623,151.21123239398003,2,1.0,0.0,2.0,$175.00,1,365,1,1,365,365,1.0,365.0,,t,2,14,16,269,08/12/24,36,36,7,4.92,4.94,4.94,5.0,4.89,4.94,4.86,f,17,17,0,0,6.14
14200,1190178261323648154,20241200000000.0,25872265,10/01/15,f,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.90268,151.19048,3,,1.0,,,7,10,5,7,10,10,6.9,10.0,,t,3,3,3,8,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
14400,1195889599004367960,20241200000000.0,564406815,28/02/24,t,4.0,5.0,"['email', 'phone']",t,t,Sydney,,-33.9020389,151.2053384488325,5,1.0,1.0,3.0,$198.00,2,365,1,2,365,365,2.0,365.0,,t,8,32,40,126,08/12/24,16,16,5,4.81,4.5,4.75,4.75,4.75,4.88,4.63,t,4,4,0,0,3.2
14600,1206871254236984866,20241200000000.0,407392360,16/06/21,f,66.0,89.0,"['email', 'phone']",t,t,Sydney,,-33.8900943,151.2017793,4,2.5,2.0,2.0,$212.00,2,90,2,21,99,99,16.8,99.0,,t,16,35,61,307,08/12/24,1,1,0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,t,53,53,0,0,0.51
14800,1216331023268735584,20241200000000.0,511467132,24/04/23,f,3.0,5.0,"['email', 'phone']",t,t,Holroyd,,-33.80988855,150.9615656583889,10,3.0,5.0,5.0,$800.00,2,365,2,2,365,365,2.0,365.0,,t,17,47,77,129,08/12/24,0,0,0,,,,,,,,t,3,3,0,0,
15000,1226420421632603101,20241200000000.0,231398236,19/12/18,t,5.0,5.0,"['email', 'phone']",t,t,Sydney,,-33.87467,151.19775,3,1.0,1.0,1.0,$280.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,20,20,20,20,08/12/24,0,0,0,,,,,,,,f,5,2,3,0,
15200,1234499849381790982,20241200000000.0,139747512,10/07/17,f,1.0,2.0,"['email', 'phone']",t,t,Auburn,,-33.82381215,151.07642419366192,1,1.0,1.0,1.0,$105.00,1,3,1,1,3,3,1.0,3.0,,t,16,44,74,74,08/12/24,2,2,1,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,1,0,1,0,1.15
