,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
32,1051911,20241200000000.0,24721535,2014-11-12,f,76.0,101.0,"['email', 'phone', 'work_email']",t,t,Pittwater,,-33.64227444,151.31101765330573,7,2.0,3.0,5.0,$657.00,3,1125,3,7,1125,1125,3.3,1125.0,,t,15,40,70,345,08/12/24,20,3,1,4.8,4.68,4.68,4.79,4.68,4.68,4.53,f,70,70,0,0,0.16
35,1077610,20241200000000.0,5929805,2013-04-15,f,1.0,1.0,"['email', 'phone']",t,t,Marrickville,,-33.89536,151.16832,2,,1.0,,,90,120,90,90,120,120,90.0,120.0,,t,0,5,16,105,08/12/24,52,3,0,4.56,4.76,4.36,4.88,4.86,4.86,4.71,f,1,1,0,0,0.39
42,264925,20241200000000.0,1389838,2011-09-11,f,1.0,1.0,"['email', 'phone']",t,t,Waverley,,-33.88506,151.27811,6,2.0,3.0,4.0,$623.00,5,60,5,7,60,60,5.3,60.0,,t,1,21,21,21,08/12/24,10,0,0,4.75,4.6,4.44,5.0,4.89,4.89,4.56,f,1,1,0,0,0.06
43,266445,20241200000000.0,1228683,2011-09-30,t,2.0,3.0,"['email', 'phone']",t,t,Sydney,,-33.90269,151.20162,2,1.5,1.0,1.0,$220.00,3,35,3,3,35,35,3.0,35.0,,t,4,10,14,99,08/12/24,124,20,1,4.87,4.87,4.73,4.85,4.9,4.59,4.75,f,1,1,0,0,0.79
45,1111328,20241200000000.0,2288917,2012-04-05,f,1.0,1.0,"['email', 'phone']",t,t,Randwick,,-33.94182211,151.2378816,4,2.0,2.0,2.0,$140.00,10,730,10,10,730,730,10.0,730.0,,t,6,11,27,302,08/12/24,15,0,0,4.67,4.8,4.33,4.87,4.67,4.8,4.87,f,1,1,0,0,0.17
47,1130697,20241200000000.0,6172276,2013-01-05,f,2.0,4.0,"['email', 'phone']",t,t,Leichhardt,,-33.86784,151.17109,1,2.0,1.0,1.0,$85.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,29,59,89,364,08/12/24,27,0,0,4.69,4.56,4.3,4.85,4.81,4.78,4.56,f,2,0,2,0,0.2
48,1130919,20241200000000.0,4813247,2013-01-23,f,1.0,1.0,['phone'],t,t,Randwick,,-33.91546,151.25433,6,2.5,3.0,3.0,$900.00,7,35,1,7,35,35,7.0,35.0,,t,12,42,72,347,08/12/24,12,1,0,4.92,4.92,4.92,5.0,5.0,5.0,4.83,f,1,1,0,0,0.14
50,1139616,20241200000000.0,6250414,2013-06-05,t,2.0,3.0,['phone'],t,t,Parramatta,,-33.776134,151.080627,2,2.0,1.0,1.0,$70.00,3,730,3,3,730,730,3.0,730.0,,t,22,52,82,179,08/12/24,53,8,2,4.85,4.74,4.88,4.84,4.88,4.8,4.82,f,2,0,2,0,0.39
52,1142027,20241200000000.0,6262522,2013-06-05,f,2.0,2.0,"['email', 'phone']",t,t,Sydney,,-33.87857,151.18716,4,2.0,3.0,3.0,$550.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,10,35,45,320,08/12/24,28,0,0,4.89,4.93,4.79,5.0,5.0,4.82,4.64,f,1,1,0,0,0.23
54,1145571,20241200000000.0,6172276,2013-01-05,f,2.0,4.0,"['email', 'phone']",t,t,Leichhardt,,-33.86572,151.17114,1,2.0,1.0,1.0,$85.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,3,0,0,4.67,4.33,4.33,4.67,4.67,4.67,4.33,f,2,0,2,0,0.02
56,1168005,20241200000000.0,6396861,2013-05-14,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Warringah,,-33.75415,151.26811,5,1.5,3.0,3.0,$300.00,30,100,30,30,100,100,30.0,100.0,,t,0,0,7,187,08/12/24,39,0,0,4.84,4.82,4.74,4.95,5.0,4.61,4.61,f,1,1,0,0,0.28
57,290146,20241200000000.0,113874,2010-04-26,f,51.0,161.0,"['email', 'phone']",t,t,Woollahra,,-33.88596,151.25758,6,2.0,2.0,3.0,$523.00,5,365,2,7,1125,1125,2.4,1125.0,,t,13,37,46,142,08/12/24,72,12,3,4.46,4.63,4.29,4.76,4.79,4.73,4.47,f,47,47,0,0,0.55
59,340563,20241200000000.0,1727971,2012-09-02,f,1.0,1.0,"['email', 'phone']",t,t,North Sydney,,-33.83542,151.19562,1,1.5,1.0,1.0,$160.00,3,14,3,3,14,14,3.0,14.0,,t,26,56,86,361,08/12/24,27,4,1,4.65,4.67,4.63,4.74,4.74,4.89,4.63,f,1,0,1,0,0.19
64,374072,20241200000000.0,1882151,2012-08-03,f,1.0,1.0,"['email', 'phone']",t,t,Waverley,,-33.88498132,151.27419278040983,8,,4.0,,,6,25,6,6,1125,1125,6.0,1125.0,,t,6,6,6,6,08/12/24,14,1,0,4.71,4.69,4.38,4.85,4.85,4.77,4.54,f,1,1,0,0,0.11
65,1180462,20241200000000.0,6398768,2013-05-15,f,1.0,2.0,['phone'],t,t,Waverley,,-33.88528442,151.28309631347656,4,2.5,2.0,3.0,$448.00,2,365,1,2,365,365,2.0,365.0,,t,11,12,12,195,08/12/24,27,5,1,4.74,4.89,4.59,4.89,4.96,4.89,4.63,t,1,1,0,0,0.2
66,1181214,20241200000000.0,6462282,2013-05-19,t,1.0,2.0,"['email', 'phone']",t,t,Leichhardt,,-33.88579941,151.17166137695312,4,2.0,2.0,2.0,$450.00,3,180,1,1,180,180,1.0,180.0,,t,17,47,72,324,08/12/24,62,10,0,4.92,4.97,4.92,4.89,4.97,4.95,4.84,f,1,1,0,0,0.61
69,379498,20241200000000.0,1817516,2012-02-27,f,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.88331,151.21261,4,1.5,2.0,2.0,$203.00,90,180,90,90,180,180,90.0,180.0,,t,15,15,15,266,08/12/24,47,0,0,4.57,4.51,4.36,4.74,4.7,4.87,4.4,f,2,1,1,0,0.33
73,413968,20241200000000.0,2059690,2012-03-04,f,2.0,2.0,"['email', 'phone']",t,t,Parramatta,,-33.82469,151.02031,2,1.5,2.0,2.0,$71.00,168,672,168,168,672,672,168.0,672.0,,t,23,53,83,358,08/12/24,0,0,0,,,,,,,,f,2,0,2,0,
74,446497,20241200000000.0,2200681,2012-04-23,f,1.0,1.0,"['email', 'phone']",t,t,Manly,,-33.79529,151.27065,6,2.0,3.0,3.0,$625.00,90,150,90,90,150,150,90.0,150.0,,t,28,58,88,363,08/12/24,11,0,0,4.64,4.8,4.9,4.7,5.0,4.8,4.8,f,1,1,0,0,0.07
75,465977,20241200000000.0,77867,2010-05-02,f,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.88738,151.21303,4,,2.0,,,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,91,08/12/24,42,0,0,4.63,4.56,4.46,4.78,4.85,4.8,4.51,f,1,1,0,0,0.29
76,466383,20241200000000.0,2315641,2012-07-05,f,1.0,2.0,"['email', 'phone']",t,t,Warringah,,-33.762707,151.298065,7,2.5,4.0,6.0,"$1,280.00",5,60,5,5,1125,1125,5.0,1125.0,,t,2,2,2,2,08/12/24,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.03
79,1280717,20241200000000.0,113874,2010-04-26,f,51.0,161.0,"['email', 'phone']",t,t,Woollahra,,-33.87649,151.24678,4,2.0,2.0,2.0,$296.00,30,1125,21,50,1125,1125,41.3,1125.0,,t,0,0,28,210,08/12/24,58,0,0,4.81,4.9,4.74,4.52,4.77,4.9,4.58,f,47,47,0,0,0.44
80,1314482,20241200000000.0,6435318,2013-05-17,f,1.0,2.0,['phone'],t,t,Waverley,,-33.89916,151.24948,3,,1.0,,,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,41,08/12/24,27,0,0,4.46,4.52,3.85,4.7,4.63,4.77,4.44,f,1,1,0,0,0.19
92,587669,20241200000000.0,2908016,2012-11-07,f,2.0,2.0,"['email', 'phone']",t,t,Pittwater,,-33.60319,151.33141,4,,2.0,,,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,0,08/12/24,104,5,0,4.85,4.84,4.84,4.98,4.95,4.94,4.75,f,1,1,0,0,0.81
93,1336819,20241200000000.0,5128250,2013-02-18,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.8819,151.17866,2,1.5,1.0,2.0,$135.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,4,7,211,08/12/24,192,22,4,4.89,4.9,4.85,4.96,4.95,4.9,4.83,f,1,1,0,0,1.4
94,1383673,20241200000000.0,7490987,2013-07-15,f,1.0,1.0,"['email', 'phone']",t,f,Sydney,,-33.86989,151.2195,3,2.0,2.0,3.0,$200.00,90,150,90,90,150,150,90.0,150.0,,t,30,60,90,91,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
95,1394532,20241200000000.0,3564414,2012-09-14,f,2.0,4.0,"['email', 'phone']",t,t,Sydney,,-33.89505,151.21252,1,2.0,1.0,1.0,$55.00,90,1120,90,90,1120,1120,90.0,1120.0,,t,30,60,90,91,08/12/24,30,0,0,4.6,4.53,4.67,4.77,4.7,4.73,4.63,f,2,0,2,0,0.22
96,1394990,20241200000000.0,7539151,2013-07-17,t,1.0,2.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.87245,151.21646,4,2.0,2.0,2.0,$471.00,3,730,3,4,730,730,3.1,730.0,,t,0,13,29,106,08/12/24,59,16,1,4.86,4.93,4.85,4.92,4.88,4.97,4.78,f,1,1,0,0,0.43
97,1408891,20241200000000.0,7598416,2013-07-19,f,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.8784,151.18658,4,1.5,2.0,2.0,$323.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,12,0,0,4.91,5.0,4.92,5.0,4.83,4.92,4.83,f,1,1,0,0,0.09
98,1409169,20241200000000.0,7600155,2013-07-20,f,1.0,1.0,"['email', 'phone']",t,t,Warringah,,-33.76195145,151.2977294921875,8,2.5,4.0,4.0,"$1,650.00",7,30,7,7,30,30,7.0,30.0,,t,3,23,23,229,08/12/24,2,0,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02
100,1456826,20241200000000.0,6827689,2013-10-06,f,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.79453,151.27,6,2.0,3.0,7.0,$550.00,15,30,10,15,30,30,14.7,30.0,,t,0,0,12,146,08/12/24,11,1,0,4.91,5.0,5.0,5.0,5.0,4.73,4.64,f,2,1,1,0,0.08
102,1475698,20241200000000.0,7568774,2013-07-18,f,1.0,1.0,"['email', 'phone']",t,t,Rockdale,,-33.9297496,151.1539288,2,,1.0,,,1,34,1,1,34,34,1.0,34.0,,t,0,0,0,0,08/12/24,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,1.0
105,1484181,20241200000000.0,7940457,2013-04-08,t,55.0,85.0,"['email', 'phone']",t,t,Penrith,,-33.72748,150.69909,10,2.5,4.0,7.0,$300.00,28,1125,7,28,1125,1125,25.4,1125.0,,t,18,36,36,118,08/12/24,36,4,0,4.64,4.75,4.69,4.86,4.83,4.72,4.42,f,7,7,0,0,0.27
111,659009,20241200000000.0,3046924,2012-07-24,t,96.0,184.0,"['email', 'phone']",t,t,Sydney,,-33.87742,151.22231,6,3.0,3.0,2.0,$959.00,90,1125,90,90,7,1125,90.0,59.0,,t,11,25,34,309,08/12/24,22,4,0,4.91,4.91,4.86,4.86,4.73,4.82,4.77,f,65,65,0,0,0.19
121,714131,20241200000000.0,3677397,2012-09-26,f,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.88521,151.20941,3,,1.0,,,365,455,365,365,455,455,365.0,455.0,,t,0,0,0,62,08/12/24,2,0,0,4.0,4.0,5.0,4.5,4.0,5.0,4.0,f,1,1,0,0,0.01
125,731529,20241200000000.0,3631357,2012-09-21,t,5.0,5.0,"['email', 'phone']",t,t,Warringah,,-33.75734,151.26062,2,1.5,1.0,1.0,$79.00,3,14,3,4,14,14,3.1,14.0,,t,8,37,62,152,08/12/24,53,14,2,4.92,4.88,4.74,4.92,4.94,4.71,4.85,f,5,0,5,0,0.43
127,1548155,20241200000000.0,8210210,2013-08-17,f,2.0,4.0,"['email', 'phone']",t,t,Mosman,,-33.81847,151.23586,8,2.0,4.0,4.0,$795.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,2,1,1,0,0.02
128,1548191,20241200000000.0,6676972,2013-05-31,f,55.0,83.0,"['email', 'phone', 'work_email']",t,t,Pittwater,,-33.6642,151.31895,8,4.0,5.0,5.0,"$3,460.00",14,50,14,14,99,1125,14.0,119.9,,t,28,58,88,363,08/12/24,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.02
131,745467,20241200000000.0,2532222,2012-03-06,f,1.0,2.0,"['email', 'phone']",t,t,Randwick,,-33.94268,151.25548,6,1.5,3.0,3.0,$275.00,7,1125,3,7,1125,1125,6.9,1125.0,,t,6,6,6,14,08/12/24,18,3,0,4.5,4.72,4.5,5.0,4.94,4.83,4.56,f,1,1,0,0,0.13
132,751568,20241200000000.0,334978,2011-04-01,f,1.0,5.0,"['email', 'phone']",t,t,Sydney,,-33.8983,151.18348,6,1.5,3.0,3.0,$235.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,36,0,0,4.54,4.5,3.97,4.69,4.63,4.72,4.42,f,1,1,0,0,0.25
133,761223,20241200000000.0,3742271,2012-03-10,f,2.0,11.0,['phone'],t,f,Waverley,,-33.89283,151.26079,4,,2.0,,,90,400,90,90,400,400,90.0,400.0,,t,0,0,17,18,08/12/24,54,0,0,4.54,4.66,4.42,4.9,4.94,4.69,4.59,f,2,2,0,0,0.37
134,765619,20241200000000.0,3046924,2012-07-24,t,96.0,184.0,"['email', 'phone']",t,t,Pittwater,,-33.59452339,151.3240371321397,8,4.0,4.0,5.0,"$1,677.00",90,1125,90,90,7,1125,90.0,61.5,,t,3,33,61,327,08/12/24,24,4,1,4.92,4.75,4.79,4.92,4.79,5.0,4.63,f,65,65,0,0,0.19
137,769833,20241200000000.0,2424664,2012-05-21,f,1.0,1.0,"['email', 'phone']",t,t,Marrickville,,-33.89731,151.17694,4,2.0,3.0,4.0,$121.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,1,1,1,93,08/12/24,10,1,0,4.9,5.0,4.89,5.0,5.0,5.0,4.78,f,1,1,0,0,0.07
139,771702,20241200000000.0,3564414,2012-09-14,f,2.0,4.0,"['email', 'phone']",t,t,Sydney,,-33.89505,151.21252,1,2.0,1.0,2.0,$55.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,91,08/12/24,39,0,0,4.71,4.73,4.73,4.81,4.84,4.84,4.71,f,2,0,2,0,0.27
142,1606341,20241200000000.0,8557626,2013-01-09,f,4.0,4.0,"['email', 'phone']",t,t,Waverley,,-33.88876,151.27792,4,,2.0,,,364,365,364,364,365,365,364.0,365.0,,t,0,0,0,0,08/12/24,393,1,0,4.62,4.72,4.62,4.84,4.71,4.93,4.56,f,4,4,0,0,3.04
143,1623648,20241200000000.0,6220032,2013-04-05,f,2.0,4.0,"['email', 'phone']",t,t,Waverley,,-33.87557,151.2791,2,2.0,1.0,1.0,$120.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,0,0,0,,,,,,,,f,1,0,1,0,
145,1641560,20241200000000.0,8270548,2013-08-20,f,1.0,1.0,"['email', 'phone']",t,t,Waverley,,-33.88294,151.27331,6,1.5,3.0,4.0,$750.00,3,20,3,3,20,20,3.0,20.0,,t,8,27,27,173,08/12/24,3,1,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,f,1,1,0,0,0.02
152,806337,20241200000000.0,4244931,2012-11-26,f,1.0,1.0,"['email', 'phone']",t,t,Woollahra,,-33.88463,151.25045,5,1.5,3.0,3.0,$271.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,4,14,14,14,08/12/24,62,1,0,4.68,4.74,4.48,4.93,4.92,4.7,4.72,f,1,1,0,0,0.5
153,813754,20241200000000.0,4276604,2012-11-29,f,1.0,2.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.89849,151.26978,4,2.5,2.0,2.0,$800.00,90,180,90,90,180,180,90.0,180.0,,t,5,35,65,340,08/12/24,25,0,0,4.67,4.48,4.75,4.83,4.79,4.7,4.45,f,1,1,0,0,0.17
157,1678160,20241200000000.0,1801684,2012-02-24,f,1.0,2.0,"['email', 'phone']",t,t,North Sydney,,-33.83846,151.22445,2,,1.0,,,5,365,5,5,365,365,5.0,365.0,,t,0,7,9,9,08/12/24,102,7,2,4.92,4.94,4.95,4.97,4.95,4.89,4.86,f,1,1,0,0,0.75
160,1714235,20241200000000.0,9041452,2013-09-25,t,1.0,1.0,"['email', 'phone']",t,t,Pittwater,,-33.59204,151.30073,6,2.0,3.0,6.0,$950.00,2,365,2,2,365,365,2.0,365.0,,t,10,27,57,326,08/12/24,159,18,1,4.96,4.92,4.89,4.99,4.98,4.98,4.73,f,1,1,0,0,1.2
161,1725625,20241200000000.0,7295333,2013-05-07,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Leichhardt,,-33.8828,151.17378,4,1.5,2.0,1.0,$300.00,14,90,14,14,1125,1125,14.0,1125.0,,t,4,34,57,104,08/12/24,62,0,0,4.9,4.95,4.79,4.94,4.92,4.92,4.75,t,1,1,0,0,0.47
163,822347,20241200000000.0,2667699,2012-06-18,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.89081,151.19734,4,2.0,2.0,2.0,$303.00,3,100,3,4,1125,1125,3.0,1125.0,,t,13,43,73,254,08/12/24,98,29,3,4.94,4.95,4.92,4.89,4.98,4.91,4.82,f,1,1,0,0,0.72
165,833232,20241200000000.0,4360614,2012-09-12,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.79385,151.2747,8,2.0,4.0,4.0,$280.00,5,60,5,5,60,60,5.0,60.0,,t,0,0,19,77,08/12/24,10,3,0,5.0,5.0,4.3,5.0,5.0,5.0,4.9,f,1,1,0,0,0.1
167,837460,20241200000000.0,4376496,2012-10-12,f,1.0,1.0,"['email', 'phone']",t,t,Warringah,,-33.76896,151.29032,5,,3.0,5.0,$485.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02
171,1742928,20241200000000.0,9175566,2013-01-10,f,1.0,2.0,['phone'],t,f,Waverley,,-33.90192,151.26026,8,2.5,4.0,4.0,"$1,000.00",90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
173,1759408,20241200000000.0,6489984,2013-05-20,f,1.0,1.0,"['email', 'phone']",t,t,Pittwater,,-33.6389,151.32366,6,3.0,3.0,3.0,"$1,000.00",90,180,90,90,180,180,90.0,180.0,,t,30,60,90,365,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
176,847003,20241200000000.0,2577380,2012-07-06,f,1.0,1.0,"['email', 'phone']",t,t,Woollahra,,-33.87705,151.23272,10,2.0,3.0,4.0,$806.00,3,365,2,3,1125,1125,2.6,1125.0,,t,17,47,73,335,08/12/24,273,18,1,4.92,4.93,4.75,4.95,4.95,4.92,4.71,f,1,1,0,0,1.88
185,1770560,20241200000000.0,9300729,2013-08-10,f,1.0,1.0,"['email', 'phone']",t,t,Warringah,,-33.76202,151.29747,12,5.0,6.0,7.0,"$1,500.00",5,730,5,5,730,730,5.0,730.0,,t,10,29,59,327,08/12/24,31,1,0,4.97,4.97,5.0,5.0,5.0,5.0,4.9,f,1,1,0,0,0.32
186,1774193,20241200000000.0,8094649,2013-11-08,t,3.0,6.0,"['email', 'phone']",t,t,Sydney,,-33.89157,151.18136,4,2.0,2.0,0.0,$250.00,4,90,4,4,90,90,4.0,90.0,,t,13,21,30,289,08/12/24,66,4,2,4.77,4.85,4.86,4.92,4.98,4.82,4.62,f,3,3,0,0,0.52
187,1789941,20241200000000.0,9392060,2013-10-13,f,1.0,2.0,"['email', 'phone']",t,t,Warringah,,-33.77314,151.27216,8,2.0,4.0,4.0,$450.00,4,21,3,5,21,21,4.0,21.0,,t,9,28,28,102,08/12/24,10,0,0,4.9,4.78,4.56,4.89,4.89,4.89,4.78,f,1,1,0,0,0.07
189,1816009,20241200000000.0,9430512,2013-10-14,f,1.0,2.0,"['email', 'phone']",t,t,Randwick,,-33.94006,151.23441,5,2.0,2.0,4.0,$148.00,90,365,90,90,365,365,90.0,365.0,,t,20,20,20,78,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
191,894042,20241200000000.0,4757350,2013-01-18,f,1.0,1.0,"['email', 'phone']",t,t,Manly,,-33.79536,151.27789,6,2.0,3.0,5.0,$550.00,7,100,1,7,100,100,6.9,100.0,,t,0,0,0,221,08/12/24,27,3,0,5.0,4.93,4.93,4.96,5.0,4.81,4.89,f,1,1,0,0,0.29
193,910871,20241200000000.0,4887010,2013-01-28,f,1.0,1.0,"['email', 'phone']",t,t,Manly,,-33.80811,151.26688,6,3.0,3.0,3.0,$360.00,90,90,90,90,90,90,90.0,90.0,,t,29,59,89,364,08/12/24,7,0,0,4.86,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.06
195,915054,20241200000000.0,4912002,2013-01-30,f,1.0,1.0,"['email', 'phone']",t,t,Warringah,,-33.61778,151.20291,12,3.0,4.0,6.0,"$1,050.00",2,30,2,2,30,30,2.0,30.0,,t,24,49,77,339,08/12/24,67,1,0,4.58,4.36,3.99,4.72,4.75,4.81,3.99,f,1,1,0,0,0.48
196,918892,20241200000000.0,4915883,2013-01-31,f,2.0,2.0,"['email', 'phone']",t,t,Warringah,,-33.71344757,151.29974365234375,3,2.0,2.0,2.0,$300.00,7,60,7,7,60,60,7.0,60.0,,t,0,0,27,302,08/12/24,10,1,0,4.4,4.44,4.78,4.56,4.78,4.78,4.44,f,2,2,0,0,0.07
197,1961902,20241200000000.0,10137646,2013-11-19,f,4.0,4.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.88898,151.27266,16,5.0,6.0,16.0,"$1,168.00",1,365,1,3,365,365,1.7,365.0,,t,8,27,55,206,08/12/24,164,24,1,4.79,4.77,4.71,4.88,4.86,4.97,4.7,f,4,4,0,0,1.26
